variable_id,mz,rt,QC_01,QC_02,QC_03,QC_04
M79T62_POS,79.01819627816323,61.93755,638197910.1324754,788449832.8098924,951765530.3565136,754307663.4149414
M79T937_POS,79.01816321234202,937.076,10397346.35975365,13987043.86099625,16485236.417073218,15042824.133757045
M79T76_POS,79.021639903364715,75.9964,7647530.78677779,NA,6671070.866716666,9078915.282862492
M79T995_POS,79.021591536485,994.5685000000001,NA,44559015.91478619,43551683.26557587,NA
M79T628_1_POS,79.25915734547823,627.8924999999999,1186396.6862919957,NA,1296871.066743725,NA
M79T628_2_POS,79.3706727212652,627.882,274345.5058292963,NA,473652.3961041621,408894.6191894527
M79T883_POS,79.48253701005063,882.5875,277416.78633154306,234657.58312207216,306639.0979871971,252369.3205126975
M79T662_POS,79.48315443540893,661.99,NA,352613.74941796326,554035.7945615303,494114.50688542234
M79T849_POS,79.48259924818834,849.3040000000001,106171.05727851613,113543.47235312517,NA,NA
M79T865_POS,79.48885988368676,865.135,212570.16082763672,NA,170772.81383370407,282176.91556747
M80T62_POS,79.51987811600415,61.93755,30045492.017607436,34996806.467645824,47455913.35602886,34369449.4005664
M80T72_POS,80.04985985193272,71.6135,NA,NA,90538568.36480927,118267913.54462495
M80T681_POS,80.29098813125347,680.631,441559.59040546964,423267.8053652296,461066.8629159123,378020.6729052767
M80T741_POS,80.49153314278276,740.57,371571.9033437424,NA,337659.76939687494,406694.6446339335
M81T683_1_POS,80.70973497815635,682.711,NA,469521.40543749643,NA,468259.70675650635
M81T757_POS,80.8045370827478,756.968,569104.6621514749,507578.8145634732,537239.9945434645,503137.9673152963
M81T922_POS,80.94818426108125,921.691,14793902.681073662,13037553.263976373,11616002.7137177,13207551.781170119
M81T896_POS,80.94819419219021,896.2529999999999,NA,4916565.056815785,7258389.467962523,NA
M81T62_POS,81.01468101188217,61.65585,16498657.943554703,18803525.40261875,24603792.154048424,18965199.099120047
M81T925_POS,81.05313352875838,925.209,6652818.146357965,7357437.958152176,NA,8373823.0889819525
M81T72_POS,81.07024196611317,71.64054999999999,37857543.24328422,33873336.48817373,37922074.28724061,44054395.73753642
M81T95_POS,81.07024548374865,95.0564,83385850.57146454,NA,86227716.23377259,86128343.22929259
M81T683_2_POS,81.2603150360433,682.7595,810516.1647522398,977666.0042500074,1015834.9366289101,1005422.1221601475
M81T748_1_POS,81.26601687764258,748.13,848663.8889343813,1039801.4326687433,936160.8568300797,843450.1298932382
M81T683_3_POS,81.3718454522512,682.7115,NA,NA,327456.34662499494,339628.1389397757
M81T748_2_POS,81.37757388270676,748.13,244477.768424999,313729.8201796836,NA,328291.8552427448
M82T62_POS,81.52091988869105,62.001,1574783101.6403766,1503060976.0532248,1859128026.2690046,1366119636.7669098
M82T936_1_POS,81.5208212121509,936.3109999999999,330345226.4964954,298878250.42216694,300127618.7626162,298294677.9426701
M82T657_POS,81.5208527561048,657.4075,35514042.20476333,10238909.722318029,41362089.09743025,14276966.458083354
M82T238_POS,81.52092963143082,237.865,16713802.334583336,11203667.738703126,NA,18210498.625848215
M82T577_POS,81.52086832810915,577.268,18706345.491643086,31880982.090592682,NA,16604053.84161163
M82T360_POS,81.52091206771604,359.79,11950698.59409373,10264755.115963802,NA,10574998.947778143
M82T1015_POS,81.52090868364063,1015.1600000000001,11757437.83969048,NA,9547497.357187508,7670401.818437544
