peak.name,mzmed,mzmin,mzmax,rtmed,rtmin,rtmax,npeaks,QC,QC_01,QC_02,QC_03,QC_04
M389T473_POS,389.1628065314193,389.15734245473527,389.1630020206294,473.1725,472.575,480.838,6,4,1635655.6617916692,1327932.0617213615,1521894.2813593703,1698399.474160717
M389T706_POS,389.1791227922379,389.1789489266653,389.1792250728968,705.5465,705.444,705.64,4,4,1774491.6574687324,1889051.6154163987,1546130.023428553,1834961.9256445419
M389T682_POS,389.17905555809364,389.178935280526,389.1793184636273,682.2955,671.107,682.76,4,3,NA,1230972.7191710977,1398508.1172421928,1180329.1275562516
M389T522_POS,389.21770087955593,389.21731120303446,389.2180196412262,521.694,521.446,522.358,3,3,255659.82066797232,255601.9127718762,306278.7858523445,NA
M389T728_POS,389.2282062808178,389.2281017907853,389.22827967102813,728.2695000000001,728.241,728.351,4,4,1721403247.7063518,1667770318.2361887,1613959911.4864528,1701729931.5045877
M389T409_POS,389.23767206561155,389.2375848285209,389.23803511631183,409.038,408.488,409.161,3,3,208819.74874023395,NA,165081.83920898402,238949.87017500246
M389T281_POS,389.2380999544959,389.2380466139377,389.23815329505413,280.71450000000004,279.935,281.494,2,2,NA,140861.492578125,NA,214321.7418678407
M389T767_POS,389.2720806249714,389.27206118547485,389.27210006446796,766.614,766.61,766.618,2,2,1597149.3216187481,NA,1951662.4002604226,NA
M389T722_POS,389.34469260752735,389.3445758302337,389.3448292159542,721.7945,720.881,722.614,4,4,3387883.4644730887,3280273.1555582653,2802157.0664381976,1910709.492999999
M390T476_POS,389.7166473278388,389.71655506845184,389.7169001837078,476.0335,475.896,476.827,4,4,956489.4381874999,1213660.8542148427,1644551.6031427255,1233208.3801964277
M390T931_POS,389.9520580300491,389.9516920553299,389.95231486513154,930.862,929.983,930.984,3,3,NA,69245.45055803562,102513.55456799227,65575.7713623035
M390T728_1_POS,390.01658687598507,390.016562342891,390.01753735105353,728.241,727.523,728.351,3,3,NA,2916384.504409091,3249686.700205077,2901332.5142530627
M390T399_POS,390.0839404502501,390.08389376760755,390.0843375474377,399.2255,398.608,400.202,4,4,2709863.7148593697,2909159.1501899394,2551732.9534411477,2678795.202135934
M390T543_POS,390.11470995112677,390.1144505141253,390.1148173887706,543.062,528.997,543.237,5,4,4536431.937983591,4291548.880632487,4509443.952305716,4615779.636838194
M390T295_POS,390.14404389339404,390.1439849918452,390.1441027949429,295.35400000000004,295.242,295.466,2,2,NA,NA,225940.52838750283,238767.10100000168
M390T473_POS,390.16401333168284,390.1637513705109,390.16415265436365,472.603,472.012,472.678,3,3,NA,262665.9253906229,196164.90132070406,278536.3615683608
M390T291_POS,390.1752063719291,390.175170744659,390.1752419991992,291.25750000000005,291.17,291.345,2,2,NA,205765.8559125002,174766.85769374852,NA
M390T598_POS,390.1876400975674,390.18761023186147,390.1876719723631,597.955,597.921,598.02,4,4,290871.123046875,244704.91901660128,202047.94417968616,278604.133785161
M390T850_POS,390.1817534882934,390.1815871381728,390.18212518832445,850.19,850.068,850.206,3,3,NA,1120569.8127037734,1036164.262168756,1291957.0763783446
M390T501_POS,390.2114807567948,390.21116901785797,390.21166112395133,500.78999999999996,500.729,500.973,4,4,391576.50839843444,523875.8409244831,447570.3398203138,452492.2516201201
M390T686_POS,390.224131150086,390.2236811618061,390.2243049848229,686.454,686.084,686.921,4,4,347862.5774218826,333725.52576328214,379752.5515475311,390688.55548958847
M390T728_2_POS,390.231521854089,390.2314222157555,390.2315852676897,728.2695000000001,728.241,728.351,4,4,388498686.5169556,378344072.72304857,367141530.38755494,383965192.37344116
M390T792_POS,390.28385970825,390.28338426289383,390.28434068847207,791.5775,791.504,791.639,4,4,2012820.6026261721,1719918.0697656272,2074541.532373619,1793758.249894967
M390T933_POS,390.2754163122905,390.2750763689757,390.2755698697426,932.535,932.48,932.679,3,3,173527.46368671645,203630.76960469244,189301.9071656217,NA
M390T701_POS,390.31954853939743,390.31950238681253,390.31968942097615,700.846,700.671,700.903,4,4,7517212.491747831,6894650.206468773,6479681.654923888,6852432.676804711
M390T718_POS,390.3358699320969,390.33576252636493,390.3359773378289,717.6795,717.589,717.77,2,2,1105167.2552750008,NA,NA,913739.9625527397
M390T706_POS,390.35605295288065,390.3559857802045,390.35608798573844,706.2049999999999,705.594,706.404,4,4,19181002.156466205,21193870.02483908,16985552.558554318,20152134.170647096
M391T529_POS,391.0645635217248,391.0644116524698,391.0647740919267,528.5615,528.119,529.156,4,4,1090811.0106211016,1074173.9600528837,1061863.4072070357,1107773.0593686167
M391T429_POS,391.0645785176605,391.0644423089928,391.0646337538592,429.1925,426.583,429.827,4,4,8459994.167080227,8625355.077165434,18852894.19714594,8516294.98065306
M391T415_POS,391.0645324780564,391.0644290099343,391.06463594617844,414.99199999999996,414.866,415.118,2,2,8300995.947956252,NA,NA,8585227.348345038
M391T574_POS,391.0647494403412,391.06458002897136,391.06491885171107,573.8475,573.794,573.901,2,2,340265.67194921314,NA,386671.5842343742,NA
M391T399_POS,391.09226303471553,391.09180621499394,391.09252049473963,399.0105,398.455,399.926,4,4,1602363.9982031218,1537649.251981773,1307533.6279296875,1084287.6386855498
M391T255_POS,391.09232612350655,391.0921989913643,391.09240250933607,254.71550000000002,252.907,254.963,4,4,273523594.5171601,273988846.12349176,282422998.1939967,267564547.87367892
M391T544_POS,391.11815783018574,391.11796006967796,391.1182421527817,543.566,543.062,543.956,4,4,598282.3715462708,540543.5468387284,615487.513240515,723372.0265820326
M391T923_POS,391.17421960910633,391.1740574923258,391.1743045640959,923.0255,922.692,923.386,4,4,473583.3103066394,416443.78254882456,444330.27585000475,408805.6115249932
M391T735_POS,391.2444258448455,391.24423482743447,391.2445184392482,734.502,734.096,734.874,4,4,57129009.09836245,56723182.65043738,47667491.52108354,56433313.77839059
M391T931_POS,391.24441786512193,391.24432064365305,391.24446225257697,930.862,930.171,931.031,3,3,301643.7064335918,NA,288602.8062825526,281130.6455078071
M391T701_POS,391.32345711469395,391.3234215792591,391.32349265012886,700.7570000000001,700.671,700.843,2,2,NA,1376464.401984393,NA,1594135.0851562412
M391T705_POS,391.36002732299266,391.35972010829903,391.36017970212527,705.1845000000001,704.7,705.64,4,4,4334410.746458279,4713060.022566937,3881160.404294597,3873625.2729999595
M392T797_1_POS,391.6799618526584,391.6797122220182,391.68003579915575,796.618,795.748,796.636,3,3,NA,458391.43745987053,276995.06207812525,354440.65805729176
M392T929_POS,391.92893594653674,391.928420568013,391.9292880801111,928.5160000000001,928.381,929.15,4,4,174619.2552124025,139148.08098014316,225209.92834921856,166269.57367031122
M392T451_POS,392.0417107366682,392.0415391109782,392.04188633672237,451.4605,451.395,451.56,4,4,964086.2912042417,1031127.3141551327,809929.4859609357,1026750.7828295471
M392T430_POS,392.06779668981875,392.06754252902783,392.06784693421713,429.50149999999996,427.569,429.889,4,4,1318914.9888749982,1818868.9154145843,1847693.0581586899,1631945.3675151363
M392T416_POS,392.06761383911146,392.06757020178026,392.0676376685,415.703,415.118,415.82,3,3,1681729.4777937487,NA,1540155.9666831384,1571418.370406252
M392T528_POS,392.06842304766224,392.0678929725537,392.06920631259914,528.126,528.119,528.164,3,3,203081.6985944045,NA,204146.68389648493,151736.40161718964
M392T481_POS,392.073312031205,392.07320208934266,392.0736214588855,480.922,480.03,481.074,3,3,NA,168248.82105078112,207786.3920882837,194004.95735546917
M392T255_POS,392.09575700506116,392.09561485428975,392.0958579863464,254.71550000000002,252.907,254.963,4,4,35146724.819263384,39498802.78971158,44394771.46328856,44199414.31908206
M392T395_POS,392.1157017192354,392.11562153263327,392.11571695767054,395.2335,395.028,395.326,4,4,304924.96104492387,264345.5883234375,249905.3159218753,282604.2138218747
M392T211_POS,392.1304771072299,392.1303287639115,392.13053412663487,210.942,209.228,211.053,4,4,425344.29710315936,249109.84962499983,324026.8623337064,387385.2786445309
M392T183_POS,392.1468727990824,392.1468173031974,392.14698092260346,183.4455,182.567,184.26,4,4,5240412.348813097,5208225.59929237,5056927.656931312,4899850.308692532
