peak.name,mzmed,mzmin,mzmax,rtmed,rtmin,rtmax,npeaks,QC,QC_01,QC_02,QC_03,QC_04
M221T945_NEG,220.92686894808566,220.926719588979,220.92687461105243,944.5029999999999,943.01,945.114,4,4,202095.67114369493,180189.33520928584,192239.56652304644,202900.48290673806
M221T65_NEG,220.9914647874725,220.99138351432566,220.99156724313707,65.3462,65.3079,65.3803,3,3,2252262.8122382783,2143791.2711324985,NA,2168695.553294374
M221T834_NEG,221.02125001039258,221.0211422745883,221.0213739759921,834.1885,832.416,836.04,4,4,246934.897259768,218314.44457640205,164017.0060593744,192410.0576875014
M221T98_NEG,221.02990145780177,221.0297815586698,221.03012307684315,97.83815,97.7052,97.8727,4,4,1629447.230885494,1701760.2637172611,1540486.7472225367,1745215.4376013032
M221T73_NEG,221.0299039045038,221.0298045580951,221.029920796934,72.5801,72.5588,81.3308,3,3,810227.7219804687,1199322.4037824532,NA,983600.0349380207
M221T364_NEG,221.04874986155883,221.04858243512868,221.0488086241601,364.2615,364.187,364.448,4,4,1005542.6177232197,929449.1867578137,959911.0245703099,928489.2565000034
M221T382_NEG,221.04531121958485,221.04522901080674,221.0453273101715,381.745,381.637,382.732,3,3,271341.9616359385,236065.00911875057,271175.05189453135,NA
M221T472_NEG,221.0663504005513,221.06627442173317,221.06638666854232,472.4165,471.445,472.622,4,4,423606.5107589288,392971.31076328043,423467.7799348966,430780.4534598209
M221T515_NEG,221.0663701909637,221.06636511786243,221.066375264065,515.1645,511.479,518.85,2,2,NA,NA,198025.532821878,281459.69822265505
M221T700_NEG,221.0814251738751,221.08126293207317,221.08153641928752,699.7695000000001,698.948,699.971,4,4,7311100.129986366,7936304.0305093145,7666504.001547335,7311320.399778657
M221T534_NEG,221.1178150667849,221.11781208681202,221.11795617107447,533.977,533.854,534.028,3,3,NA,276474.095859376,289718.76684179384,268132.39199999976
M221T487_NEG,221.11790003489722,221.11785580564194,221.11794426415247,487.407,487.373,487.441,2,2,NA,338796.9899609356,NA,360753.8997312521
M221T790_NEG,221.1544694411784,221.15439291078494,221.1545169630048,789.6135,789.437,789.944,4,4,1278230.763070969,1288018.1704332444,1370404.442478679,1400915.7055397818
M222T944_NEG,221.90264915104507,221.90256903348774,221.9027263979895,943.6275,942.629,943.944,4,4,332242.86004807515,503588.7189687521,500730.05732031306,495589.53968338843
M222T528_NEG,222.0015224551047,222.0015003196204,222.00164172987053,528.1695,528.025,528.362,4,4,444569.9866523444,503742.94616071705,497692.1030281791,466385.1724375014
M222T219_NEG,222.0015764336336,222.0014699143515,222.0016936051172,218.619,218.133,219.882,4,4,232491.87595768238,258429.08609765634,242541.81365126942,273123.11261074175
M222T933_NEG,222.01543382164033,222.0152784765353,222.01552920401443,932.635,932.36,934.346,4,4,3260800.8414047495,3854654.334476679,4018472.245965921,3681317.973528473
M222T450_1_NEG,222.0530829319634,222.0529146237836,222.05317762323645,450.0425,449.864,450.867,4,4,606845.5644374997,681284.884354492,564251.498708333,516195.08391992113
M222T109_NEG,222.04403356303612,222.04400830064708,222.04408897424608,109.33699999999999,108.484,110.026,4,4,298398.9480332031,276505.99196233286,321253.9909178603,339433.95672180224
M222T363_NEG,222.05167670481188,222.05160937539787,222.05174403422592,363.3755,362.528,364.223,2,2,NA,NA,135687.41016796848,122501.9354626243
M222T250_NEG,222.0768278738396,222.07676934954293,222.0769500068289,250.488,249.598,251.427,4,4,1001542.1133894243,1273281.224163912,1002560.5605027669,1133573.6039666487
M222T789_NEG,222.15758783507232,222.15753872854697,222.1576369415977,789.2055,788.807,789.604,2,2,159353.12299300198,NA,NA,204576.17104947768
M222T450_2_NEG,222.255199526189,222.2541788488887,222.25622020348928,450.462,450.158,450.766,2,2,300922.04430625145,NA,NA,824968.6707867002
M223T451_1_NEG,222.7182929669819,222.71792945650088,222.71835681185573,450.8165,450.699,450.995,4,4,740485.405003306,1089668.4809564708,1323582.6792307924,1357476.421594584
M223T942_NEG,222.89743795789843,222.8974208186574,222.8974976367301,941.6265000000001,940.535,942.585,4,4,1480283.866187112,1332884.6738628375,1171195.4924862147,991753.7553090288
M223T932_NEG,222.99939433037696,222.99923037881658,222.99940722265987,932.458,931.979,932.725,3,3,1616575.8296337794,2296162.2199539556,NA,1712446.173198446
M223T103_NEG,222.99689644553933,222.99686291200427,222.99692997907437,102.75550000000001,102.727,102.784,2,2,NA,NA,367013.5535765624,329421.0999304686
M223T948_NEG,223.01049697496086,223.01046864946034,223.01052530046138,948.1995,947.137,949.262,2,2,NA,318889.95913828077,341097.0964910139,NA
M223T348_NEG,223.02459211391852,223.02449520615633,223.02463649746818,347.65,347.581,347.831,4,4,15896412.306880008,22723692.041882016,21464945.668356076,22188115.850362495
M223T97_NEG,223.02762011188048,223.02761322147265,223.0276399240249,97.044,96.9977,97.7052,3,3,463121.0090373045,NA,368093.8323867187,437241.62582845887
M223T74_NEG,223.04579073456918,223.04542956296018,223.0458789852333,73.75,73.4,74.1397,4,4,4564727.56575617,4126473.9467637897,4364885.247578821,4542804.471544292
M223T109_NEG,223.0643398750929,223.06426421358603,223.0645093948755,108.5115,108.484,109.198,4,4,448374.22468749894,523414.5911093755,579733.6677790179,561420.9989937507
M223T305_NEG,223.06095702211695,223.0609149481841,223.06102258622192,304.8515,304.388,305.461,4,4,732011.1844374991,677363.495101563,692419.2027083385,755206.4136874966
M223T451_2_NEG,223.06082791971767,223.06074346985474,223.06089390741312,450.8165,450.699,450.995,4,4,493781598.6569435,488595766.3942114,514840776.492337,496839113.9238915
M223T563_NEG,223.09720330981028,223.0971451127943,223.09729592291998,563.1095,562.959,563.299,4,4,5689782.761593728,5485286.101148984,5827117.259638367,5333246.708754718
M223T711_NEG,223.13358734439925,223.13350069867113,223.13365789425706,710.732,710.526,710.843,4,4,30673320.595125,31228859.603981253,31041225.261878554,30963529.073607977
M223T940_NEG,223.13362102887987,223.1335206060278,223.1338763375554,939.548,938.057,940.923,4,4,288990.94667695166,285002.322118493,213352.2160078132,188127.70345468965
M223T760_NEG,223.13359591161802,223.1334752580769,223.13364652064115,759.756,759.615,759.771,3,3,1194842.5650184625,NA,1101565.0137196248,1353903.7923080486
M223T588_NEG,223.13358424873667,223.1333868318442,223.13378166562913,588.1600000000001,588.057,588.263,2,2,192295.9045406244,NA,NA,237135.61672711777
